No.,Name,Code,Lat,Lon,Altitude
1,Bondville,BVL,40.05,88.22,213
2,Dixon Springs-Bare,DXB,37.45,88.67,165
3,Brownstown,BRW,38.95,88.95,177 
4,Orr Center (Perry),ORR,39.80,90.83,206 
5,De Kalb,DEK,41.85,88.85,265 
6,Monmouth,MON,40.92,90.73,229 
8,Peoria,ICC,40.70,89.52,207 
9,Springfield,LLC,39.52,89.62,177 
10,Belleville,FRM,38.52,89.88,133 
11,Carbondale,SIU,37.72,89.23,137 
12,Olney,OLN,38.73,88.10,134 
13,Freeport,FRE,42.28,89.67,265 
14,Rend Lake (Ina),RND,38.13,88.92,130 
15,Stelle,STE,40.95,88.17,213 
16,Topeka,MTF,40.30,89.90,152 
17,Oak Run,OAK,40.97,90.15,229 
34,Fairfield,FAI,38.38,88.38,136 
81,Champaign,CMI,40.08,88.23,219 
82,Dixon Springs-Grass,DXG,37.45,88.67,165
